143,"palet steen; gebruiksvoorwerp, 3500-3200 voor Christus, steen: leisteenmateriaal, xxx"
144,"Serapis steen: sculptuur, mensfiguur, mythe, Egypte Late Tijd, materiaal, xxx"
145,"Apis stier aardewerk: terracotta, dierfiguur, mythe, Egypte Late Tijd, uit vorm, xxx"
146,"Apis stier aardewerk: terracotta, dierfiguur, mythe, Egypte Late Tijd, uit vorm, xxx"
147,"Apis stier metaal: dierfiguur, mythe, Egypte Late Tijd, gegoten in vorm, xxx"
148,"Horusvalk metaal: dierfiguur, mythe, Egypte Late Tijd, gegoten in vorm, xxx"
149,"Harpocrates aardewerk: terracotta, mensfiguur, mythe, Egypte Late Tijd, uit vorm, xxx"
150,"Harpocrates metaal: mensfiguur, mythe, Egypte Late Tijd, gegoten in vorm, xxx"
151,"Harpocrates metaal: mensfiguur, mythe, Egypte Late Tijd, gegoten in vorm, xxx"
152,"metaal: mensfiguur, mythe, Egypte Late Tijd, gegoten in vorm, xxx"
153,"Osiris metaal: mensfiguur, mythe, Egypte Late Tijd, gegoten in vorm, xxx"
154,"zegelafdruk, kop aardewerk: zegel(afdruk), vorm, xxx"
155,"zegelafdruk, adelaar aardewerk: zegel(afdruk), vorm, xxx"
156,"zegelafdruk, adelaar aardewerk: zegel(afdruk), vorm, xxx"
157,"zegelafdruk aardewerk: zegel(afdruk), vorm, xxx"
158,"zegelafdruk, kop aardewerk: zegel(afdruk), vorm, xxx"
159,"centaur, hanger aardewerk: mens-dierfiguur, Kleiner, Tanagras 's 174, 500-475 voor Christus, vorm, xxx"
160,"hanger: centaur aardewerk: mens-dierfiguur, Kleiner, Tanagra 's 174, 500-475 voor Christus, vorm, xxx"
161,"hoorn met vruchten aardewerk: vruchten, Winter, II p.43., 400-300 voor Christus, vorm, xxx"
162,"kistje voor glasnegatieven hout : kistje, 1854, houtmateriaal, xxx"
163,"glasnegatief glas : fotonegatief, 1854, glasmateriaal, xxx"
164,"glasnegatief glas : fotonegatief, 1854, glasmateriaal, xxx"
165,"glasnegatief glas : fotonegatief, 1854, glasmateriaal, xxx"
166,"glasnegatief glas : fotonegatief, 1854, glasmateriaal, xxx"
167,"glasnegatief glas : fotonegatief, 1854, glasmateriaal, xxx"
168,"glasnegatief glas : fotonegatief, 1854, glasmateriaal, xxx"
169,"glasnegatief glas : fotonegatief, 1854, glasmateriaal, xxx"
170,"glasnegatief glas : fotonegatief, 1854, glasmateriaal, xxx"
